"Country","Year","Emission"
"Afghanistan","2013","0.693183410739021"
"Albania","2013","1.66218482579198"
"Algeria","2013","3.51478008968438"
"Andorra","2013","6.47384785644647"
"Angola","2013","1.3844963891048"
"Antigua and Barb.","2013","5.82742679335445"
"Arab World","2013","4.70036886409355"
"Argentina","2013","4.46229797972199"
"Armenia","2013","1.83705891867902"
"Aruba","2013","8.51539530319371"
"Australia","2013","16.3473020462161"
"Austria","2013","7.36005578241321"
"Azerbaijan","2013","3.78506883600917"
"Bahamas","2013","8.22995916271659"
"Bahrain","2013","23.6825741592543"
"Bangladesh","2013","0.438735965550561"
"Barbados","2013","5.12725528578458"
"Belarus","2013","6.73665011620537"
"Belgium","2013","8.37163927479096"
"Belize","2013","1.50220080013248"
"Benin","2013","0.561654398002293"
"Bermuda","2013","5.58503715327457"
"Bhutan","2013","1.17108888114418"
"Bolivia","2013","1.89451170397188"
"Bosnia and Herz.","2013","5.72942825392118"
"Botswana","2013","2.49183003983441"
"Brazil","2013","2.46587023517652"
"Brunei","2013","18.9187361330161"
"Bulgaria","2013","5.44564855477167"
"Burkina Faso","2013","0.179008360417252"
"Burundi","2013","0.0280299206217032"
"Cambodia","2013","0.369653237536413"
"Cameroon","2013","0.306750487570081"
"Canada","2013","13.5322948480976"
"Cape Verde","2013","0.874716613636453"
"Cayman Islands","2013","9.23519333892991"
"Central African Rep.","2013","0.0630539807645524"
"Chad","2013","0.0463054782261816"
"Chile","2013","4.73213571157623"
"China","2013","7.55091648469846"
"Colombia","2013","1.89312787365514"
"Comoros","2013","0.214644996587721"
"Dem. Rep. Congo","2013","0.0383111838966626"
"Congo","2013","0.564945450209292"
"Costa Rica","2013","1.61828692770087"
"Cote d'Ivoire","2013","0.415669841909974"
"Croatia","2013","4.1618666213626"
"Cuba","2013","3.46222738735869"
"Cyprus","2013","5.20988357222691"
"Czech Rep.","2013","9.38349654640854"
"Denmark","2013","6.77962386721691"
"Djibouti","2013","0.704087888090275"
"Dominica","2013","1.83337268245261"
"Dominican Rep.","2013","2.14675587234744"
"East Asia & Pacific (all income levels)","2013","6.34288224855736"
"East Asia & Pacific (developing only)","2013","5.8028409645963"
"Ecuador","2013","2.77928758459061"
"Egypt","2013","2.4312619472326"
"El Salvador","2013","1.04416251590405"
"Eq. Guinea","2013","6.79038292170693"
"Estonia","2013","15.110411480451"
"Ethiopia","2013","0.11246280525086"
"Euro area","2013","6.79253078204201"
"Europe & Central Asia (all income levels)","2013","7.27252998556614"
"Europe & Central Asia (developing only)","2013","7.74175981720152"
"European Union","2013","6.71452113474114"
"Faeroe Is.","2013","12.3012921394848"
"Fiji","2013","1.94076914253135"
"Finland","2013","8.51255384289531"
"France","2013","5.05048299434835"
"French Polynesia","2013","2.96787900247863"
"Gabon","2013","2.88187118982568"
"Gambia","2013","0.263208415332978"
"Georgia","2013","1.9888813559322"
"Germany","2013","9.22059080376862"
"Ghana","2013","0.558786408969245"
"Greece","2013","6.30685109479425"
"Greenland","2013","10.0629392914682"
"Grenada","2013","2.87398727125078"
"Guatemala","2013","0.866574175059221"
"Guinea","2013","0.192422941157074"
"Guinea-Bissau","2013","0.146084143647226"
"Guyana","2013","2.54414197544653"
"Haiti","2013","0.230610159914695"
"Heavily indebted poor countries (HIPC)","2013","0.267243630692501"
"High income","2013","10.9937090980773"
"Honduras","2013","1.15489308973216"
"Hong Kong","2013","6.26004730434783"
"Hungary","2013","4.18886318742734"
"Iceland","2013","6.08214316600981"
"India","2013","1.59027282895444"
"Indonesia","2013","1.90778125926251"
"Iran","2013","7.99684853798217"
"Iraq","2013","4.92013722197135"
"Ireland","2013","7.60387330605655"
"Israel","2013","8.81863564737267"
"Italy","2013","5.72380998502705"
"Jamaica","2013","2.84615509294135"
"Japan","2013","9.76439314510874"
"Jordan","2013","3.43836904310454"
"Kazakhstan","2013","15.432794480864"
"Kenya","2013","0.304402197694402"
"Kiribati","2013","0.574320091391509"
"Dem. Rep. Korea","2013","2.0120426394834"
"Korea","2013","11.7981500833867"
"Kuwait","2013","27.2589636999752"
"Kyrgyzstan","2013","1.7207895657039"
"Lao PDR","2013","0.330476589232346"
"Latin America & Caribbean (all income levels)","2013","3.03881899581894"
"Latin America & Caribbean (developing only)","2013","2.88961894994608"
"Latvia","2013","3.5182409036458"
"Least developed countries: UN classification","2013","0.31054742796834"
"Lebanon","2013","4.27112326673589"
"Lesotho","2013","1.10200421399085"
"Liberia","2013","0.222905369085626"
"Libya","2013","8.14571958096945"
"Liechtenstein","2013","1.3860151187905"
"Lithuania","2013","4.27365723711993"
"Low & middle income","2013","3.49445123309454"
"Low income","2013","0.279829626922291"
"Lower middle income","2013","1.42873950171434"
"Luxembourg","2013","18.7007821702002"
"Macao","2013","3.81511153829904"
"Macedonia","2013","4.00221081058391"
